Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771407842,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771407843,5,,Aggregated,0.000000,0.000000,7,25,40,40,110,140,140,140,140,140,140,16,0,6,32.75616250539315,2.6842000079341233,136.0044000321068,741.9375
1771407844,15,,Aggregated,0.000000,0.000000,5,7,8,9,38,110,140,140,140,140,140,48,0,4,14.34730000376779,2.0437000202946365,136.0044000321068,532.6041666666666
1771407845,20,,Aggregated,10.000000,0.000000,5,7,8,9,17,38,110,140,140,140,140,100,0,5,10.395115002174862,2.0437000202946365,136.0044000321068,611.33
1771407846,20,,Aggregated,18.500000,0.000000,5,6,7,8,14,21,40,110,140,140,140,161,0,5,8.588006212708674,1.7760999617166817,136.0044000321068,604.0248447204968
1771407847,20,,Aggregated,28.333333,0.000000,4,6,7,7,11,17,38,110,140,140,140,229,0,4,7.379104804723446,1.7760999617166817,136.0044000321068,625.1441048034934
1771407848,20,,Aggregated,35.000000,0.000000,4,6,6,7,9,16,25,110,140,140,140,291,0,4,6.753205500352692,1.7719000461511314,136.0044000321068,630.9278350515464
1771407849,20,,Aggregated,40.600000,0.000000,4,6,6,7,8,14,25,40,140,140,140,347,0,4,6.344413545998538,1.7719000461511314,136.0044000321068,655.4265129682997
1771407850,20,,Aggregated,44.333333,0.000000,4,6,6,6,8,13,21,38,140,140,140,412,0,4,6.022929370338866,1.7719000461511314,136.0044000321068,663.0655339805825
1771407851,20,,Aggregated,46.285714,0.000000,4,6,6,6,8,10,17,38,140,140,140,473,0,4,5.7555040181909805,1.7719000461511314,136.0044000321068,653.5200845665962
1771407852,20,,Aggregated,48.375000,0.000000,4,5,6,6,8,10,17,25,140,140,140,536,0,4,5.590497016443683,1.7719000461511314,136.0044000321068,653.4029850746268
1771407853,20,,Aggregated,49.888889,0.000000,4,5,6,6,7,9,17,25,140,140,140,597,0,4,5.465911726574172,1.6858000308275223,136.0044000321068,670.3065326633166
1771407854,20,,Aggregated,51.100000,0.000000,4,5,6,6,7,9,16,25,140,140,140,665,0,4,5.314410978812669,1.6858000308275223,136.0044000321068,665.0857142857143
1771407855,20,,Aggregated,56.100000,0.000000,4,5,6,6,7,8,16,24,140,140,140,730,0,4,5.236222740415841,1.6858000308275223,136.0044000321068,672.8739726027397
1771407856,20,,Aggregated,60.000000,0.000000,4,5,6,6,7,9,15,24,140,140,140,799,0,4,5.226978223735306,1.6858000308275223,136.0044000321068,678.7096370463079
1771407857,20,,Aggregated,61.700000,0.000000,4,5,6,6,7,8,14,21,140,140,140,863,0,4,5.161110429780672,1.6858000308275223,136.0044000321068,673.6257242178448
1771407858,20,,Aggregated,62.700000,0.000000,4,5,6,6,7,8,14,17,140,140,140,927,0,4,5.070953507028106,1.6858000308275223,136.0044000321068,667.1639697950377
1771407859,20,,Aggregated,63.500000,0.000000,4,5,6,6,7,8,13,17,140,140,140,996,0,4,4.995909037351811,1.6858000308275223,136.0044000321068,666.1767068273092
1771407860,20,,Aggregated,63.200000,0.000000,4,5,6,6,7,8,12,17,110,140,140,1061,0,4,4.959137984264017,1.6858000308275223,136.0044000321068,666.096135721018
1771407861,20,,Aggregated,64.300000,0.000000,4,5,6,6,7,8,12,17,110,140,140,1126,0,4,4.930444850247654,1.6858000308275223,136.0044000321068,666.6500888099467
1771407862,20,,Aggregated,64.800000,0.000000,4,5,6,6,7,8,13,17,110,140,140,1187,0,4,5.034436058569244,1.6858000308275223,136.0044000321068,673.6242628475147
1771407863,20,,Aggregated,64.700000,0.000000,4,5,6,6,7,8,12,17,110,140,140,1245,0,4,4.998857350730109,1.6858000308275223,136.0044000321068,678.4457831325301
1771407864,20,,Aggregated,64.500000,0.000000,4,5,6,6,7,8,11,17,110,140,140,1308,0,4,4.97329617867927,1.6415999853052199,136.0044000321068,681.3379204892966
1771407865,20,,Aggregated,64.900000,0.000000,4,5,6,6,7,8,11,17,110,140,140,1373,0,4,4.936408741477313,1.6415999853052199,136.0044000321068,673.388201019665
1771407866,20,,Aggregated,64.200000,0.000000,4,5,6,6,7,8,10,16,110,140,140,1435,0,4,4.91252940931789,1.6415999853052199,136.0044000321068,665.6299651567945
1771407867,20,,Aggregated,63.900000,0.000000,4,5,6,6,7,8,10,16,110,140,140,1501,0,4,4.8643057977208,1.6415999853052199,136.0044000321068,663.6462358427715
